"Player","Team","Pos","Pos2","Opp","Tipoff","Salary","Projection","SE","FantasyPros","numberFire","RotoGrinders","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation","PTS","Three","Two","FT","TRB","AST","BLK","STL","TOV","Actual","Value","actValue"
"Russell Westbrook","OKC","PG","","@DAL","Sun 8:30PM",13000,63.03,4.6,68.2,57.8,59.88,61.85,67.41,"R. Westbrook",16.17,43.71,76.05,207,-105,1,"3in4",29,2,6,11,6,5,1,2,1,50.5,4.84846153846154,3.88461538461538
"DeMarcus Cousins","NOR","PF","C","@LAL","Sun 9:30PM",10200,54.56,3.62,58,52.3,58.59,50.275,53.63,"D. Cousins",15.82,42.77,74.41,217.5,-245,-6,"",26,3,6,5,15,2,1,0,4,50.75,5.34901960784314,4.97549019607843
"Anthony Davis","NOR","PF","C","@LAL","Sun 9:30PM",10100,53.18,4.84,60.5,51.7,55.25,48.15,50.28,"A. Davis",17.68,37.57,72.93,217.5,-245,-6,"",31,0,10,11,9,2,3,2,1,54.75,5.26534653465347,5.42079207920792
"John Wall",NA,"PG","",NA,NA,NA,49.74,2.67,NA,48.5,52.95,50.7,46.81,"J. Wall",13.24,39.71,66.19,217,0,-11,NA,19,1,5,6,6,10,1,0,4,43.5,NA,NA
"Isaiah Thomas",NA,"PG","",NA,NA,NA,48.11,2.58,NA,44.4,48.3,49.925,49.8,"I. Thomas",17.39,30.91,65.69,228,-210,-5,NA,35,5,5,10,2,5,0,2,1,51,NA,NA
"Stephen Curry",NA,"PG","",NA,NA,NA,46.94,3.26,NA,47.4,50.68,46.95,42.74,"S. Curry",11.66,39.02,62.34,219,-700,-10.5,NA,31,5,6,4,8,6,0,2,2,55.5,NA,NA
"Eric Bledsoe",NA,"PG","",NA,NA,NA,42.59,1.82,NA,40,42.81,44.225,43.32,"E. Bledsoe",15.41,27.4,58.22,228,180,5,NA,28,2,7,8,6,9,0,0,4,48,NA,NA
"Draymond Green",NA,"PF","C",NA,NA,NA,41.05,3.8,NA,42,45.84,39.45,36.93,"D. Green",13.29,32.55,59.13,219,-700,-10.5,NA,13,1,3,4,7,4,1,2,0,34.25,NA,NA
"Paul Millsap",NA,"PF","",NA,NA,NA,37.99,1.28,NA,37.8,39.85,37.25,37.07,"P. Millsap",13.55,26.3,53.4,209.5,-150,-3,NA,23,0,8,7,10,2,0,2,4,42,NA,NA
"Jrue Holiday","NOR","PG","","@LAL","Sun 9:30PM",7400,37.48,3.07,40.5,37.6,38.59,32.325,38.39,"J. Holiday",14.28,24.31,52.87,217.5,-245,-6,"",20,1,6,5,5,12,0,3,3,50.75,5.06486486486486,6.85810810810811
"Paul George",NA,"SF","",NA,NA,NA,37.25,2.45,NA,37.7,40.54,35.275,35.5,"P. George",15,25.54,55.54,209.5,130,3,NA,34,6,6,4,5,4,0,1,5,48.75,NA,NA
"Carmelo Anthony",NA,"SF","PF",NA,NA,NA,35.27,9.31,NA,37.2,41.94,40.3,21.62,"C. Anthony",12.16,29.78,54.1,219,535,10.5,NA,15,1,5,2,6,2,2,0,2,29,NA,NA
"Gordon Hayward",NA,"SF","",NA,NA,NA,35.2,2.94,NA,35.1,31.61,38.8,35.28,"G. Hayward",15.17,16.44,46.78,192.5,-500,-9.5,NA,23,2,5,7,5,5,0,0,3,36.25,NA,NA
"Jeff Teague",NA,"PG","",NA,NA,NA,34.7,2.85,NA,34.8,37.95,31,35.03,"J. Teague",11.01,26.94,48.96,209.5,130,3,NA,16,1,4,5,4,6,1,1,2,33.5,NA,NA
"Dwight Howard",NA,"C","",NA,NA,NA,34.54,1.08,NA,33.8,33.5,35.8,35.07,"D. Howard",15.07,18.43,48.58,209.5,-150,-3,NA,9,0,2,5,14,3,1,2,4,35,NA,NA
"Klay Thompson",NA,"SG","",NA,NA,NA,34.51,2.11,NA,33.3,37.45,34.575,32.7,"K. Thompson",10.86,26.59,48.31,219,-700,-10.5,NA,29,4,4,9,4,1,0,1,1,39,NA,NA
"Rudy Gobert",NA,"C","",NA,NA,NA,34.48,3.58,NA,36,29.28,37.4,35.23,"R. Gobert",9.37,19.91,38.65,192.5,-500,-9.5,NA,16,0,8,0,24,3,3,1,0,60,NA,NA
"Bradley Beal",NA,"SG","",NA,NA,NA,34,1.3,NA,34.5,32.66,35.575,33.25,"B. Beal",13.06,19.6,45.72,217,0,-11,NA,32,3,9,5,3,4,1,2,1,48.75,NA,NA
"D'Angelo Russell","LAL","PG","","NOR","Sun 9:30PM",7100,33.84,3.05,30.3,32.7,37.87,32.3,36.05,"D. Russell",18.56,19.31,56.43,217.5,205,6,"",16,2,5,0,4,7,1,2,6,35.5,4.76619718309859,5
"Kristaps Porzingis",NA,"PF","C",NA,NA,NA,33.67,1.82,NA,34.7,34.1,34.9,30.99,"K. Porzingis",15,19.1,49.1,219,535,10.5,NA,24,2,7,4,15,2,2,0,2,51.25,NA,NA
"Dennis Schroder",NA,"PG","",NA,NA,NA,32.76,1.14,NA,32,34.07,33.35,31.63,"D. Schroder",10.56,23.51,44.63,209.5,-150,-3,NA,18,2,5,2,1,7,0,3,1,36.25,NA,NA
"Derrick Rose",NA,"PG","",NA,NA,NA,32.51,1.68,NA,30.9,33.62,31.25,34.27,"D. Rose",14.12,19.5,47.74,219,535,10.5,NA,28,0,9,10,1,4,0,1,2,36.25,NA,NA
"Julius Randle","LAL","PF","","NOR","Sun 9:30PM",6500,31.99,1.46,30.8,30.3,33.92,32.275,32.64,"J. Randle",15.6,18.32,49.52,217.5,205,6,"",5,0,2,1,12,6,0,1,2,30,4.92153846153846,4.61538461538461
"Devin Booker",NA,"SG","",NA,NA,NA,31.8,3.63,NA,32.2,26.6,33.575,34.82,"D. Booker",10.11,16.49,36.71,228,180,5,NA,16,1,4,5,5,0,0,1,1,24.25,NA,NA
"Harrison Barnes","DAL","SF","PF","OKC","Sun 8:30PM",6300,31.58,1.86,34.3,31.2,29.95,29.925,32.54,"H. Barnes",9.58,20.37,39.53,207,-115,-1,"",17,0,5,7,5,3,0,0,0,27.75,5.01269841269841,4.40476190476191
"Myles Turner",NA,"C","",NA,NA,NA,30.63,2.27,NA,33,27.61,30.425,31.47,"M. Turner",9.66,17.95,37.27,209.5,130,3,NA,5,0,2,1,5,1,2,0,1,16.25,NA,NA
"Marcin Gortat",NA,"C","",NA,NA,NA,29.9,3.21,NA,32,28.34,33.1,26.17,"M. Gortat",7.08,21.25,35.42,217,0,-11,NA,7,0,1,5,11,1,0,1,3,22.75,NA,NA
"George Hill",NA,"PG","",NA,NA,NA,29.33,1.92,NA,30.6,27.17,31.25,28.3,"G. Hill",11.68,15.49,38.85,192.5,-500,-9.5,NA,15,2,2,5,5,8,0,1,1,35.75,NA,NA
"Markieff Morris",NA,"PF","",NA,NA,NA,29.22,2.16,NA,27.7,31.96,27.3,29.93,"M. Morris",11.19,20.77,43.15,217,0,-11,NA,8,0,3,2,2,2,1,2,1,19,NA,NA
"Jae Crowder",NA,"SF","",NA,NA,NA,28.94,0.69,NA,29.6,28.25,29.45,28.44,"J. Crowder",12.15,16.1,40.4,228,-210,-5,NA,16,2,4,2,10,1,0,0,1,32,NA,NA
"Alan Williams",NA,"C","",NA,NA,NA,28.87,9.64,NA,39.8,32.42,17.05,26.19,"A. Williams",12,20.42,44.42,228,180,5,NA,11,0,5,1,15,0,1,2,1,36.75,NA,NA
"Marcus Smart",NA,"PG","SG",NA,NA,NA,28.65,1.17,NA,28.5,27.07,29.725,29.31,"M. Smart",10.29,16.78,37.36,228,-210,-5,NA,11,0,1,9,3,3,0,1,2,20.25,NA,NA
"Elfrid Payton",NA,"PG","",NA,NA,NA,28.53,2.86,NA,29,24.44,31.075,29.62,"E. Payton",12.71,11.73,37.15,217,0,11,NA,15,0,7,1,5,3,1,0,3,26.25,NA,NA
"Evan Fournier",NA,"SG","",NA,NA,NA,28.28,1.37,NA,28.2,26.91,30.175,27.85,"E. Fournier",13.99,12.92,40.9,217,0,11,NA,18,3,4,1,2,2,0,1,2,26,NA,NA
"Dirk Nowitzki","DAL","PF","C","OKC","Sun 8:30PM",5400,27.88,0.8,26.8,28.6,27.81,27.475,28.71,"D. Nowitzki",14.74,13.07,42.55,207,-115,-1,"",18,1,7,1,12,3,0,0,1,39,5.16296296296296,7.22222222222222
"Otto Porter",NA,"SF","PF",NA,NA,NA,27.8,1.09,NA,29.1,28.08,27.55,26.49,"O. Porter",11.51,16.57,39.59,217,0,-11,NA,11,1,3,2,4,1,1,1,0,22,NA,NA
"Aaron Gordon",NA,"PF","",NA,NA,NA,27.79,1.52,NA,27.8,29.69,27.7,25.98,"A. Gordon",8.91,20.78,38.6,217,0,11,NA,15,1,4,4,11,3,0,1,2,36.25,NA,NA
"Willy Hernangomez",NA,"C","",NA,NA,NA,27.5,4.48,NA,28.9,30.67,20.875,29.55,"G. Hernangomez",2.45,28.22,33.12,219,535,10.5,NA,8,0,4,0,5,0,0,0,3,12.75,NA,NA
"Wesley Matthews","DAL","SG","SF","OKC","Sun 8:30PM",5000,27.2,1.75,29.6,26.8,27.72,24.75,27.11,"W. Matthews",13.86,13.86,41.58,207,-115,-1,"",9,1,2,2,0,4,0,3,0,21.5,5.44,4.3
"Bismack Biyombo",NA,"C","",NA,NA,NA,27.07,3.59,NA,29.2,30.19,22.15,26.75,"B. Biyombo",18.11,12.08,48.3,217,0,11,NA,14,0,5,4,15,1,0,2,2,38.75,NA,NA
"Derrick Favors",NA,"PF","C",NA,NA,NA,26.84,2.28,NA,26.5,29.07,27.975,23.8,"D. Favors",11.34,17.73,40.41,192.5,-500,-9.5,NA,9,0,4,1,2,2,0,0,1,14,NA,NA
"Nerlens Noel","DAL","C","","OKC","Sun 8:30PM",5400,26.61,7.7,21.5,33.5,35.66,24.575,17.8,"N. Noel",18.54,17.12,54.2,207,-115,-1,"",13,0,6,1,5,0,0,0,2,18.25,4.92777777777778,3.37962962962963
"Seth Curry","DAL","SG","","OKC","Sun 8:30PM",6400,26.29,2.58,22,27.6,28.76,26.15,26.93,"S. Curry",11.22,17.54,39.98,207,-115,-1,"",22,2,8,0,1,1,0,1,1,27.25,4.1078125,4.2578125
"Darren Collison",NA,"PG","",NA,NA,NA,25.82,3.01,NA,26.3,23.49,29.9,23.61,"D. Collison",11.74,11.74,35.23,192.5,405,9.5,NA,18,1,7,1,3,5,0,1,1,31.25,NA,NA
"Steven Adams","OKC","C","","@DAL","Sun 8:30PM",5400,25.79,1.96,28.1,26.7,23.25,24.325,26.56,"S. Adams",9.77,13.48,33.02,207,-105,1,"3in4",19,0,8,3,5,1,1,1,4,28.75,4.77592592592593,5.32407407407407
"Enes Kanter","OKC","C","","@DAL","Sun 8:30PM",5600,25.36,1.61,23,27.5,25.68,25.075,25.57,"E. Kanter",13.61,12.07,39.29,207,-105,1,"3in4",16,0,7,2,10,2,0,1,3,33.5,4.52857142857143,5.98214285714286
"Terrence Ross",NA,"SF","",NA,NA,NA,25.36,3.38,NA,26.9,28.72,20.825,25.01,"T. Ross",10.63,18.09,39.35,217,0,11,NA,20,4,4,0,4,1,2,2,2,35.5,NA,NA
"Jordan Clarkson","LAL","PG","SG","NOR","Sun 9:30PM",5500,25.35,1.68,23,24.4,26.64,27.125,25.57,"J. Clarkson",8.26,18.38,34.9,217.5,205,6,"",14,0,4,6,2,3,0,1,3,21.5,4.60909090909091,3.90909090909091
"Willie Cauley-Stein",NA,"PF","C",NA,NA,NA,24.89,3.71,NA,24.5,24.54,20.75,29.78,"W. Cauley-Stein",13.01,11.53,37.55,192.5,405,9.5,NA,15,0,6,3,9,3,1,2,0,36.75,NA,NA
"Ty Lawson",NA,"PG","",NA,NA,NA,24.59,3.09,NA,25.6,19.99,26.35,26.44,"T. Lawson",11.99,8,31.98,192.5,405,9.5,NA,19,1,6,4,4,5,0,0,3,30.5,NA,NA
"T.J. Warren",NA,"SF","PF",NA,NA,NA,24.39,0.65,NA,23.9,25.3,24.4,23.96,"T. Warren",14.17,11.13,39.47,228,180,5,NA,14,0,6,2,7,1,2,1,0,30.25,NA,NA
"Kelly Olynyk",NA,"PF","C",NA,NA,NA,23.98,1.09,NA,23.3,25.49,24.025,23.09,"K. Olynyk",13.51,11.98,39,228,-210,-5,NA,0,0,0,0,4,1,2,0,3,9,NA,NA
"Thaddeus Young",NA,"PF","",NA,NA,NA,23.78,1.74,NA,25.3,23.17,25.05,21.6,"T. Young",11.82,11.35,34.99,209.5,130,3,NA,4,0,2,0,5,2,0,0,0,13.25,NA,NA
"Kent Bazemore",NA,"SG","SF",NA,NA,NA,23.44,1.47,NA,23.9,24.98,21.475,23.39,"K. Bazemore",9.24,15.74,34.22,209.5,-150,-3,NA,2,0,1,0,3,1,0,1,2,8.25,NA,NA
"Ersan Ilyasova",NA,"PF","",NA,NA,NA,22.31,3.23,NA,27,21.26,19.625,21.36,"E. Ilyasova",10.42,10.84,31.68,209.5,-150,-3,NA,5,1,1,0,4,1,0,0,0,12,NA,NA
"Yogi Ferrell","DAL","PG","","OKC","Sun 8:30PM",4900,21.81,5.44,12.1,24.4,24.52,23.675,24.36,"Y. Ferrell",12.75,11.77,37.27,207,-115,-1,"",7,1,2,0,2,3,0,0,0,14.5,4.45102040816326,2.95918367346939
"Tim Hardaway Jr.",NA,"PG","SG",NA,NA,NA,21.77,0.42,NA,21.9,22.05,21.15,21.99,"T. Hardaway",10.14,11.91,32.19,209.5,-150,-3,NA,24,4,5,2,4,2,0,1,1,35.5,NA,NA
"Courtney Lee",NA,"SG","",NA,NA,NA,21.77,1.08,NA,21.2,21.11,21.4,23.38,"C. Lee",9.71,11.4,30.82,219,535,10.5,NA,5,1,1,0,0,1,0,3,1,12.5,NA,NA
"Brandon Ingram","LAL","SG","SF","NOR","Sun 9:30PM",4600,21.5,2.15,19.3,21.7,24.3,19.45,22.74,"B. Ingram",8.02,16.28,32.32,217.5,205,6,"",16,2,5,0,6,2,1,0,4,27.5,4.67391304347826,5.97826086956522
"Amir Johnson",NA,"PF","C",NA,NA,NA,21.43,1.64,NA,23.4,19.68,22.075,20.56,"A. Johnson",9.84,9.84,29.52,228,-210,-5,NA,13,1,4,2,8,3,3,1,0,36,NA,NA
"Jaylen Brown",NA,"SG","SF",NA,NA,NA,21.26,3.89,NA,24.8,22.16,15.7,22.38,"J. Brown",11.97,10.19,34.13,228,-210,-5,NA,14,1,3,5,6,3,0,1,1,28,NA,NA
"Rodney Hood",NA,"SG","",NA,NA,NA,21.1,1.01,NA,22.5,20.25,21.175,20.48,"R. Hood",9.11,11.14,29.36,192.5,-500,-9.5,NA,28,4,6,4,4,0,0,2,1,38.5,NA,NA
"Marquese Chriss",NA,"PF","",NA,NA,NA,21.04,1.18,NA,21.4,22.02,19.325,21.43,"M. Chriss",8.81,13.21,30.83,228,180,5,NA,10,0,5,0,6,0,5,1,1,29,NA,NA
"Andre Iguodala",NA,"SG","SF",NA,NA,NA,20.3,0.87,NA,19,20.71,20.9,20.58,"A. Iguodala",7.46,13.25,28.17,219,-700,-10.5,NA,6,2,0,0,3,4,0,2,1,20.25,NA,NA
"Thabo Sefolosha",NA,"SG","SF",NA,NA,NA,20.17,2.66,NA,18.8,24.12,18.45,19.31,"T. Sefolosha",10.61,13.51,34.73,209.5,-150,-3,NA,12,2,2,2,6,4,0,2,0,30.5,NA,NA
"Monta Ellis",NA,"SG","",NA,NA,NA,20.16,1.51,NA,20.1,20.72,21.7,18.12,"M. Ellis",9.12,11.6,29.84,209.5,130,3,NA,3,1,0,0,3,3,0,1,3,12.25,NA,NA
"Zaza Pachulia",NA,"C","",NA,NA,NA,20.16,1.43,NA,20,19.51,22.2,18.94,"Z. Pachulia",10.34,9.17,29.85,219,-700,-10.5,NA,10,0,5,0,1,2,1,1,2,17.25,NA,NA
"Nick Young","LAL","SG","","NOR","Sun 9:30PM",3700,19.81,1.25,21.3,20.6,18.03,19.35,19.76,"N. Young",10.82,7.21,28.85,217.5,205,6,"",19,4,3,1,4,0,0,1,2,27,5.35405405405405,7.2972972972973
"Bojan Bogdanovic",NA,"SG","SF",NA,NA,NA,19.68,2.37,NA,21.6,16.74,21.6,18.76,"B. Bogdanovic",9.04,7.7,25.78,217,0,-11,NA,27,8,1,1,2,1,0,0,1,34.5,NA,NA
"Kyle O'Quinn",NA,"C","",NA,NA,NA,19.21,2.19,NA,16.5,19.72,18.825,21.78,"K. O'Quinn",12.03,7.69,31.75,219,535,10.5,NA,2,0,1,0,4,5,0,0,2,13.5,NA,NA
"Taj Gibson","OKC","PF","","@DAL","Sun 8:30PM",4100,19.06,3.41,22.7,17.3,15.79,22.8,16.7,"T. Gibson",8.84,6.95,24.63,207,-105,1,"3in4",6,0,2,2,2,1,0,0,1,9.5,4.64878048780488,2.31707317073171
"Larry Nance","LAL","PF","","NOR","Sun 9:30PM",3800,18.78,0.63,18.3,18.7,18.31,19.85,18.76,"L. Nance",5.86,12.45,24.17,217.5,205,6,"",4,0,2,0,5,0,0,1,1,11.75,4.9421052631579,3.09210526315789
"C.J. Miles",NA,"SG","SF",NA,NA,NA,18.68,0.63,NA,19.1,19.33,18.15,18.12,"C. Miles",7.73,11.6,27.06,209.5,130,3,NA,13,3,2,0,5,2,0,0,1,23.25,NA,NA
"Jeff Green",NA,"SF","PF",NA,NA,NA,18.61,3.6,NA,20.5,13.81,22.075,18.06,"J. Green",7.87,5.94,21.68,217,0,11,NA,12,1,4,1,2,0,0,0,0,15,NA,NA
"Matt Barnes",NA,"PF","",NA,NA,NA,18.54,6.64,NA,15,11.82,20.375,26.98,"M. Barnes",5.91,5.91,17.73,219,-700,-10.5,NA,3,1,0,0,3,2,1,2,1,15.75,NA,NA
"Buddy Hield",NA,"SG","",NA,NA,NA,18.49,2.44,NA,19.8,19.16,20.125,14.89,"B. Hield",10.15,9.01,29.31,192.5,405,9.5,NA,10,2,2,0,2,1,0,1,5,14.5,NA,NA
"Alex Len",NA,"C","",NA,NA,NA,18.42,3.91,NA,17.8,19.32,23,13.56,"A. Len",7.53,11.79,26.85,228,180,5,NA,8,0,3,2,2,1,0,0,0,12,NA,NA
"Kosta Koufos",NA,"C","",NA,NA,NA,18.36,2.04,NA,21.4,17.62,17.325,17.1,"K. Koufos",7.4,10.22,25.02,192.5,405,9.5,NA,12,0,5,2,10,1,1,0,1,29,NA,NA
"Solomon Hill","NOR","SF","","@LAL","Sun 9:30PM",3100,18.18,1.9,18.5,18.1,20.55,15.25,18.5,"S. Hill",6.17,14.38,26.71,217.5,-245,-6,"",5,1,1,0,6,3,0,0,1,17,5.86451612903226,5.48387096774194
"E'Twaun Moore","NOR","SG","","@LAL","Sun 9:30PM",3800,17.92,2.08,18.4,17.9,20.97,15.25,17.08,"E. Moore",8.39,12.58,29.36,217.5,-245,-6,"",13,2,3,1,1,2,1,1,0,22.25,4.71578947368421,5.85526315789474
"Andre Roberson","OKC","SF","","@DAL","Sun 8:30PM",4000,17.55,1.94,19.2,18.6,18.55,14.4,17.01,"A. Roberson",8.35,10.2,26.9,207,-105,1,"3in4",2,0,1,0,8,2,0,0,2,14,4.3875,3.5
"Tyler Zeller",NA,NA,NA,NA,NA,NA,16.8,0,NA,16.8,NA,NA,NA,"T. Zeller",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5,0,0,0,3,4.75,NA,NA
"Alex Abrines",NA,"SG","",NA,NA,NA,16.78,2.58,NA,19.3,18.7,14.425,14.7,"A. Abrines",6.17,12.53,24.87,207,-105,1,NA,0,0,0,0,0,2,0,0,0,3,NA,NA
"D.J. Augustin",NA,"PG","SG",NA,NA,NA,16.73,1.73,NA,16,14.64,17.95,18.34,"D. Augustin",5.86,8.78,20.5,217,0,11,NA,8,2,1,0,1,4,0,0,0,16.25,NA,NA
"Alec Burks",NA,"PG","SG",NA,NA,NA,16.71,3.34,NA,21.2,17.32,13.975,14.36,"A. Burks",6.24,11.08,23.56,192.5,-500,-9.5,NA,7,0,3,1,3,1,0,2,3,14.75,NA,NA
"Doug McDermott","OKC","SG","SF","@DAL","Sun 8:30PM",3700,16.67,2.78,15.1,21.2,17.48,14.65,14.9,"D. McDermott",10.14,7.34,27.62,207,-105,1,"3in4",6,0,3,0,4,2,0,0,0,14,4.50540540540541,3.78378378378378
"Joe Ingles",NA,"SG","SF",NA,NA,NA,16.47,3.27,NA,14.8,21.32,14.325,15.42,"J. Ingles",9.81,11.51,31.13,192.5,-500,-9.5,NA,6,2,0,0,1,1,0,2,2,12.75,NA,NA
"Jonas Jerebko",NA,"PF","",NA,NA,NA,16.45,2.78,NA,19,14.38,13.725,18.68,"J. Jerebko",6.76,7.62,21.14,228,-210,-5,NA,1,0,0,1,5,1,0,0,0,8.75,NA,NA
"Anthony Tolliver",NA,"PF","",NA,NA,NA,15.87,2.02,NA,17.5,13.07,15.725,17.18,"A. Tolliver",5.62,7.45,18.69,192.5,405,9.5,NA,7,1,2,0,3,2,1,1,0,18.25,NA,NA
"Rodney Stuckey",NA,"PG","",NA,NA,NA,15.78,1.01,NA,16.1,16.59,NA,14.65,"R. Stuckey",9.95,6.64,26.54,209.5,130,3,NA,3,1,0,0,2,3,0,2,2,13.5,NA,NA
"Tyler Ulis",NA,"PG","",NA,NA,NA,15.75,5.08,NA,20.6,19.62,10.675,12.11,"T. Ulis",8.24,11.38,27.86,228,180,5,NA,20,1,7,3,2,5,0,1,0,32.5,NA,NA
"David West",NA,"PF","",NA,NA,NA,15.54,0.85,NA,15.9,16.14,NA,14.57,"D. West",7.42,8.72,23.56,219,-700,-10.5,NA,7,0,3,1,1,0,0,0,1,7.75,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arron Afflalo",NA,"SF","",NA,NA,NA,15.39,2.68,NA,15.3,14.49,19.075,12.71,"A. Afflalo",7.82,6.67,22.31,192.5,405,9.5,NA,17,1,5,4,4,3,0,0,0,27,NA,NA
"Lance Thomas",NA,"PF","",NA,NA,NA,15.01,3,NA,11.2,17.54,14.05,17.27,"L. Thomas",7.89,9.65,25.43,219,535,10.5,NA,0,0,0,0,7,2,0,0,0,11.75,NA,NA
